,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
33,1522114536286920704,1522114536286920704,2022-05-05 09:22:39 CEST,2022-05-05,09:22:39,200,15993641,arey,Amalio A. Rey,,La 2da presentación del #LibroIC en #Madrid será el J26Mayo(18:30) en @TheBridge_Tech acompañados por  Tíscar Lara (@tiscar) y Mario López de Ávila (@nodosenlared) sobre impacto de la #IC en el diseño y gestión de las organizaciones. +Info/inscripciones:  https://t.co/OVzv1SdR7x,es,"[{'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}, {'screen_name': 'tiscar', 'name': 'tíscar lara', 'id': '4628161'}, {'screen_name': 'nodosenlared', 'name': 'mario lopez de avila', 'id': '41545659'}]",['https://bit.ly/3LLF4IJ'],[],0,2,4,"['libroic', 'madrid', 'ic']",[],https://twitter.com/arey/status/1522114536286920704,False,,0,,,,,,,,[],,,,
34,1521871017714589699,1521871017714589699,2022-05-04 17:15:00 CEST,2022-05-04,17:15:00,200,1162694149956603904,thebridge_tech,The Bridge,,"🤩¿Quieres conocer el talento digital que llevas dentro? ¡Ven a nuestro Open Day y descúbrelo!   📅Viernes 20 de mayo 11.15h en Paseo de Recoletos 15, Madrid.  🎟Saca tus entradas👇👇 https://t.co/qq3WqsydKv",es,[],['https://bit.ly/3OXq0tr'],[],0,0,0,[],[],https://twitter.com/TheBridge_Tech/status/1521871017714589699,False,,0,,,,,,,,[],,,,
35,1519712433740386308,1519712433740386308,2022-04-28 18:17:33 CEST,2022-04-28,18:17:33,200,2979740235,spaingeneration,Generation Spain,,"¡Gracias a todos por el día de hoy! 😍😍  De la mano de: @AccentureSpain , Bonus Studios, @Making_Science_ @SomosMiogroup , Silicon HR , y @TheBridge_Tech hemos podido acercar el futuro talento digital hacia el mundo laboral 🔝 🔝   #talent #empresas #marketing #BeGeneration  https://t.co/wLbzhtXb94",es,"[{'screen_name': 'accenturespain', 'name': 'accenture españa', 'id': '109316621'}, {'screen_name': 'making_science_', 'name': 'making science', 'id': '106118689'}, {'screen_name': 'somosmiogroup', 'name': 'somosmiogroup', 'id': '1379803017315299329'}, {'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}]",[],"['https://pbs.twimg.com/media/FRcaM5IWUAEt9j9.jpg', 'https://pbs.twimg.com/media/FRcaM5KXMAIL-Jz.jpg', 'https://pbs.twimg.com/media/FRcaM5IWYAE9fOQ.jpg', 'https://pbs.twimg.com/media/FRcaM6PXMAEERnK.jpg']",0,0,1,"['talent', 'empresas', 'marketing', 'begeneration']",[],https://twitter.com/spaingeneration/status/1519712433740386308,False,,1,https://pbs.twimg.com/media/FRcaM5IWUAEt9j9.jpg,,,,,,,[],,,,
36,1519706866703638529,1519706866703638529,2022-04-28 17:55:26 CEST,2022-04-28,17:55:26,200,3294953441,jm_torralba_,Jose Maria Torralba,,En breve empezamos la charla sobre RV y Psicología! Todo ready! @TheBridge_Tech  https://t.co/lW3fvKhcGZ,es,"[{'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}]",[],['https://pbs.twimg.com/media/FRcVVWfXwAE5PER.jpg'],0,1,15,[],[],https://twitter.com/JM_Torralba_/status/1519706866703638529,False,,1,https://pbs.twimg.com/media/FRcVVWfXwAE5PER.jpg,,,,,,,[],,,,
37,1519432213061943303,1519432213061943303,2022-04-27 23:44:03 CEST,2022-04-27,23:44:03,200,3294953441,jm_torralba_,Jose Maria Torralba,,Mañana estaré junto a @LucaMefisto en una mesa redonda en @TheBridge_Tech donde hablaremos de la relación que hay entre #psicologia y la #realidadvirtual. Pinta interesante!!…,es,"[{'screen_name': 'lucamefisto', 'name': 'luca mefisto', 'id': '301371727'}, {'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}]",[],[],0,1,6,"['psicologia', 'realidadvirtual']",[],https://twitter.com/JM_Torralba_/status/1519432213061943303,False,https://twitter.com/TheBridge_Tech/status/1517147713254526978,0,,,,,,,,[],,,,
38,1519359124219338752,1519359124219338752,2022-04-27 18:53:38 CEST,2022-04-27,18:53:38,200,604485175,bertinha84,Berta Otero,,"Acabo de escuchar la charla de @kairos_ds en @TheBridge_Tech. Ahora que todo lo que tengo que aprender me abruma. Escuchar que si llego a la meta, me esperará una empresa así (ojalá), un equipo en el que se respire ese buen rollo y amor por el trabajo, me da fuerza para pelear",es,"[{'screen_name': 'kairos_ds', 'name': 'kairós ds', 'id': '4295874994'}, {'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}]",[],[],0,0,8,[],[],https://twitter.com/bertinha84/status/1519359124219338752,False,,0,,,,,,,,[],,,,
39,1519338659111178242,1519338364687765505,2022-04-27 17:32:18 CEST,2022-04-27,17:32:18,200,53089020,gabinha,Gabiña,,@pmdr_1189 @TheBridge_Tech Lamentablemente,es,[],[],[],0,0,1,[],[],https://twitter.com/gabinha/status/1519338659111178242,False,,0,,,,,,,,"[{'screen_name': 'pmdr_1189', 'name': 'Paola D.', 'id': '35662075'}, {'screen_name': 'TheBridge_Tech', 'name': 'The Bridge', 'id': '1162694149956603904'}]",,,,
40,1519225678335459328,1519225678335459328,2022-04-27 10:03:22 CEST,2022-04-27,10:03:22,200,431035304,irnmm,Irene M Morgado 🌿,,Esto es hoy!  Nos vemos en @TheBridge_Tech con @quierodata para hablar de crecimiento dentro de @kairos_ds 🧡,es,"[{'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}, {'screen_name': 'quierodata', 'name': 'inés huertas', 'id': '827646604509315072'}, {'screen_name': 'kairos_ds', 'name': 'kairós ds', 'id': '4295874994'}]",[],[],0,1,5,[],[],https://twitter.com/IrnMM/status/1519225678335459328,False,https://twitter.com/kairos_ds/status/1518967719516909568,0,,,,,,,,[],,,,
41,1519208638136602626,1518909298688077825,2022-04-27 08:55:39 CEST,2022-04-27,08:55:39,200,1162694149956603904,thebridge_tech,The Bridge,,@burn_es Prueba de ello 📸🔥  https://t.co/7SWL2ionj3,es,[],[],"['https://pbs.twimg.com/media/FRVQIZ_XIAA04f9.jpg', 'https://pbs.twimg.com/media/FRVQKXEXoAALeMO.jpg']",0,1,2,[],[],https://twitter.com/TheBridge_Tech/status/1519208638136602626,False,,1,https://pbs.twimg.com/media/FRVQIZ_XIAA04f9.jpg,,,,,,,"[{'screen_name': 'burn_es', 'name': 'BURN España 🔥', 'id': '227327854'}]",,,,
42,1518967719516909568,1518967719516909568,2022-04-26 16:58:20 CEST,2022-04-26,16:58:20,200,4295874994,kairos_ds,Kairós DS,,"Nuestra Head de Data &amp; IA @quierodata, estará mañana en las oficinas de @TheBridge_Tech, para hablar de las oportunidades de crecimiento profesional dentro de Kairós DS.🤩   @IrnMM la acompañará resolviendo cualquier duda sobre Kairós DS…   ¿Te veremos allí?🧡  #OrgulloKairós  https://t.co/0hUC9XkPxF",es,"[{'screen_name': 'quierodata', 'name': 'inés huertas', 'id': '827646604509315072'}, {'screen_name': 'thebridge_tech', 'name': 'the bridge', 'id': '1162694149956603904'}, {'screen_name': 'irnmm', 'name': 'irene m morgado 🌿', 'id': '431035304'}]",[],['https://pbs.twimg.com/media/FRR1Dd1X0AIxP0K.png'],0,5,7,['orgullokairós'],[],https://twitter.com/kairos_ds/status/1518967719516909568,False,,1,https://pbs.twimg.com/media/FRR1Dd1X0AIxP0K.png,,,,,,,[],,,,
